Category         Instruction         legal  fp_val  fp_single  uopc             iq_type   fu_code    dst_type  rs1_type  rs2_type  frs3_en  imm_sel  uses_ldq  uses_stq  is_amo  is_fence  is_fencei  mem_cmd    wakeup_delay  bypassable  is_br  is_sys_pc2epc  inst_unique  flush_on_commit  csr_cmd  is_rvv  can_be_split  uses_vm  v_ls_ew   vstart_is_zero  allow_vd_is_v0  not_use_vtype  vd_unequal_vs1  vd_unequal_vs2
XInt             SH                  Y      N       X          uopSTA           IQT_MEM   FU_MEM     RT_X      RT_FIX    RT_FIX    N        IS_S     N         Y         N       N         N          M_XWR      0.U(2.W)      N           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             SB                  Y      N       X          uopSTA           IQT_MEM   FU_MEM     RT_X      RT_FIX    RT_FIX    N        IS_S     N         Y         N       N         N          M_XWR      0.U(2.W)      N           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             LUI                 Y      N       X          uopLUI           IQT_INT   FU_ALU     RT_FIX    RT_X      RT_X      N        IS_U     N         N         N       N         N          M_X        1.U(2.W)      Y           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             ADDI                Y      N       X          uopADDI          IQT_INT   FU_ALU     RT_FIX    RT_FIX    RT_X      N        IS_I     N         N         N       N         N          M_X        1.U(2.W)      Y           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             ANDI                Y      N       X          uopANDI          IQT_INT   FU_ALU     RT_FIX    RT_FIX    RT_X      N        IS_I     N         N         N       N         N          M_X        1.U(2.W)      Y           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             ORI                 Y      N       X          uopORI           IQT_INT   FU_ALU     RT_FIX    RT_FIX    RT_X      N        IS_I     N         N         N       N         N          M_X        1.U(2.W)      Y           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             XORI                Y      N       X          uopXORI          IQT_INT   FU_ALU     RT_FIX    RT_FIX    RT_X      N        IS_I     N         N         N       N         N          M_X        1.U(2.W)      Y           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             SLTI                Y      N       X          uopSLTI          IQT_INT   FU_ALU     RT_FIX    RT_FIX    RT_X      N        IS_I     N         N         N       N         N          M_X        1.U(2.W)      Y           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             SLTIU               Y      N       X          uopSLTIU         IQT_INT   FU_ALU     RT_FIX    RT_FIX    RT_X      N        IS_I     N         N         N       N         N          M_X        1.U(2.W)      Y           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             SLL                 Y      N       X          uopSLL           IQT_INT   FU_ALU     RT_FIX    RT_FIX    RT_FIX    N        IS_I     N         N         N       N         N          M_X        1.U(2.W)      Y           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             ADD                 Y      N       X          uopADD           IQT_INT   FU_ALU     RT_FIX    RT_FIX    RT_FIX    N        IS_I     N         N         N       N         N          M_X        1.U(2.W)      Y           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             SUB                 Y      N       X          uopSUB           IQT_INT   FU_ALU     RT_FIX    RT_FIX    RT_FIX    N        IS_I     N         N         N       N         N          M_X        1.U(2.W)      Y           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             SLT                 Y      N       X          uopSLT           IQT_INT   FU_ALU     RT_FIX    RT_FIX    RT_FIX    N        IS_I     N         N         N       N         N          M_X        1.U(2.W)      Y           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             SLTU                Y      N       X          uopSLTU          IQT_INT   FU_ALU     RT_FIX    RT_FIX    RT_FIX    N        IS_I     N         N         N       N         N          M_X        1.U(2.W)      Y           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             AND                 Y      N       X          uopAND           IQT_INT   FU_ALU     RT_FIX    RT_FIX    RT_FIX    N        IS_I     N         N         N       N         N          M_X        1.U(2.W)      Y           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             OR                  Y      N       X          uopOR            IQT_INT   FU_ALU     RT_FIX    RT_FIX    RT_FIX    N        IS_I     N         N         N       N         N          M_X        1.U(2.W)      Y           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             XOR                 Y      N       X          uopXOR           IQT_INT   FU_ALU     RT_FIX    RT_FIX    RT_FIX    N        IS_I     N         N         N       N         N          M_X        1.U(2.W)      Y           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             SRA                 Y      N       X          uopSRA           IQT_INT   FU_ALU     RT_FIX    RT_FIX    RT_FIX    N        IS_I     N         N         N       N         N          M_X        1.U(2.W)      Y           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             SRL                 Y      N       X          uopSRL           IQT_INT   FU_ALU     RT_FIX    RT_FIX    RT_FIX    N        IS_X     N         N         N       N         N          M_X        1.U(2.W)      Y           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             MUL                 Y      N       X          uopMUL           IQT_INT   FU_MUL     RT_FIX    RT_FIX    RT_FIX    N        IS_X     N         N         N       N         N          M_X        0.U(2.W)      N           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             MULH                Y      N       X          uopMULH          IQT_INT   FU_MUL     RT_FIX    RT_FIX    RT_FIX    N        IS_X     N         N         N       N         N          M_X        0.U(2.W)      N           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             MULHU               Y      N       X          uopMULHU         IQT_INT   FU_MUL     RT_FIX    RT_FIX    RT_FIX    N        IS_X     N         N         N       N         N          M_X        0.U(2.W)      N           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             MULHSU              Y      N       X          uopMULHSU        IQT_INT   FU_MUL     RT_FIX    RT_FIX    RT_FIX    N        IS_X     N         N         N       N         N          M_X        0.U(2.W)      N           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             MULW                Y      N       X          uopMULW          IQT_INT   FU_MUL     RT_FIX    RT_FIX    RT_FIX    N        IS_X     N         N         N       N         N          M_X        0.U(2.W)      N           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             DIV                 Y      N       X          uopDIV           IQT_INT   FU_DIV     RT_FIX    RT_FIX    RT_FIX    N        IS_X     N         N         N       N         N          M_X        0.U(2.W)      N           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             DIVU                Y      N       X          uopDIVU          IQT_INT   FU_DIV     RT_FIX    RT_FIX    RT_FIX    N        IS_X     N         N         N       N         N          M_X        0.U(2.W)      N           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             REM                 Y      N       X          uopREM           IQT_INT   FU_DIV     RT_FIX    RT_FIX    RT_FIX    N        IS_X     N         N         N       N         N          M_X        0.U(2.W)      N           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             REMU                Y      N       X          uopREMU          IQT_INT   FU_DIV     RT_FIX    RT_FIX    RT_FIX    N        IS_X     N         N         N       N         N          M_X        0.U(2.W)      N           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             DIVW                Y      N       X          uopDIVW          IQT_INT   FU_DIV     RT_FIX    RT_FIX    RT_FIX    N        IS_X     N         N         N       N         N          M_X        0.U(2.W)      N           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             DIVUW               Y      N       X          uopDIVUW         IQT_INT   FU_DIV     RT_FIX    RT_FIX    RT_FIX    N        IS_X     N         N         N       N         N          M_X        0.U(2.W)      N           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             REMW                Y      N       X          uopREMW          IQT_INT   FU_DIV     RT_FIX    RT_FIX    RT_FIX    N        IS_X     N         N         N       N         N          M_X        0.U(2.W)      N           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             REMUW               Y      N       X          uopREMUW         IQT_INT   FU_DIV     RT_FIX    RT_FIX    RT_FIX    N        IS_X     N         N         N       N         N          M_X        0.U(2.W)      N           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             AUIPC               Y      N       X          uopAUIPC         IQT_INT   FU_JMP     RT_FIX    RT_X      RT_X      N        IS_U     N         N         N       N         N          M_X        1.U(2.W)      N           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             JAL                 Y      N       X          uopJAL           IQT_INT   FU_JMP     RT_FIX    RT_X      RT_X      N        IS_J     N         N         N       N         N          M_X        1.U(2.W)      N           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             JALR                Y      N       X          uopJALR          IQT_INT   FU_JMP     RT_FIX    RT_FIX    RT_X      N        IS_I     N         N         N       N         N          M_X        1.U(2.W)      N           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             BEQ                 Y      N       X          uopBEQ           IQT_INT   FU_ALU     RT_X      RT_FIX    RT_FIX    N        IS_B     N         N         N       N         N          M_X        0.U(2.W)      N           Y      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             BNE                 Y      N       X          uopBNE           IQT_INT   FU_ALU     RT_X      RT_FIX    RT_FIX    N        IS_B     N         N         N       N         N          M_X        0.U(2.W)      N           Y      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             BGE                 Y      N       X          uopBGE           IQT_INT   FU_ALU     RT_X      RT_FIX    RT_FIX    N        IS_B     N         N         N       N         N          M_X        0.U(2.W)      N           Y      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             BGEU                Y      N       X          uopBGEU          IQT_INT   FU_ALU     RT_X      RT_FIX    RT_FIX    N        IS_B     N         N         N       N         N          M_X        0.U(2.W)      N           Y      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             BLT                 Y      N       X          uopBLT           IQT_INT   FU_ALU     RT_X      RT_FIX    RT_FIX    N        IS_B     N         N         N       N         N          M_X        0.U(2.W)      N           Y      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             BLTU                Y      N       X          uopBLTU          IQT_INT   FU_ALU     RT_X      RT_FIX    RT_FIX    N        IS_B     N         N         N       N         N          M_X        0.U(2.W)      N           Y      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             CSRRW               Y      N       X          uopCSRRW         IQT_INT   FU_CSR     RT_FIX    RT_FIX    RT_X      N        IS_I     N         N         N       N         N          M_X        0.U(2.W)      N           N      N              Y            Y                CSR.W    N       N             N        DC2       N               N               N              N               N
